,uic,name,lat,lng,address
0,8400301,Heerenveen IJsstadion,52.9352760314941,5.94388866424561,"2, Uraniumweg, Heerenveen, Fryslân, Nederland, 8445 PH, Nederland"
1,8400534,Rotterdam Stadion,51.8938903808594,4.51972198486328,"Rotterdam Stadion, Olympiaweg, De Veranda, Oud-IJsselmonde, IJsselmonde, Rotterdam, Zuid-Holland, Nederland, 3077 AL, Nederland"
2,8400058,Amsterdam Centraal,52.3788871765137,4.90027761459351,"5a, IJ-hal, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 AA, Nederland"
3,8400282,Den Haag Centraal,52.0802764892578,4.32499980926514,"Rijnstraat, Rivierenbuurt, Centrum, Den Haag, Zuid-Holland, Nederland, 2511 XZ, Nederland"
4,8400206,Eindhoven Centraal,51.4433326721191,5.48138904571533,"Spoor 5, Kennedyplein, Fellenoord, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 ZV, Nederland"
5,8400530,Rotterdam Centraal,51.9249992370605,4.46888875961304,"Spoor 8, Stationssingel, Provenierswijk, Noord, Rotterdam, Zuid-Holland, Nederland, 3033 HB, Nederland"
6,8400561,Schiphol Airport,52.3094444274902,4.76194429397583,"Aankomstpassage, Schiphol, Haarlemmermeer, Noord-Holland, Nederland, 1118 AX, Nederland"
7,8400621,Utrecht Centraal,52.0888900756836,5.11027765274048,"14, Moreelsebrug, Hoog Catharijne, Ns, Jaarbeurs, Binnenstad City- En Winkelgebied, Binnenstad, Utrecht, Nederland, 3521 AW, Nederland"
8,8400319,'s-Hertogenbosch,51.69048,5.29362,"Spoor 4b, Het Zand, Binnenstad, 's-Hertogenbosch, Noord-Brabant, Nederland, 5211 AZ, Nederland"
9,8400050,Alkmaar,52.6377792358398,4.73972225189209,"2, Stationstraat, Spoorbuurt, Alkmaar, Noord-Holland, Nederland, 1815 BD, Nederland"
10,8400051,Almelo,52.3580551147461,6.65388870239258,"3, W.H. Vliegenhof, Wierdensehoek, Almelo, Overijssel, Nederland, 7604 VN, Nederland"
