,trainset,amenity
0,SNG,FIETS
1,SNG,WIFI
2,SNG,STROOM
3,SNG,TOEGANKELIJK
4,SNG,TOILET
5,Flirt,TOILET
6,Flirt,STROOM
7,Flirt,FIETS
8,Flirt,TOEGANKELIJK
9,Flirt,WIFI
10,SLT,FIETS
11,SLT,TOILET
12,SLT,TOEGANKELIJK
13,ICNG,WIFI
14,ICNG,TOILET
15,ICNG,STILTE
16,ICNG,STROOM
17,ICNG,FIETS
18,ICNG,TOEGANKELIJK
19,ICM,WIFI
20,ICM,TOILET
21,ICM,STILTE
22,ICM,STROOM
23,ICM,FIETS
24,VIRM,WIFI
25,VIRM,TOILET
26,VIRM,STILTE
27,VIRM,FIETS
28,VIRM,STROOM
29,DDZ,WIFI
30,DDZ,TOILET
31,DDZ,STILTE
32,DDZ,STROOM
33,DDZ,FIETS
34,GTW,STROOM
35,GTW,TOEGANKELIJK
36,GTW,TOILET
