,num,name,trainset
0,7665,Sprinter 7665 to Zutphen,SNG
1,6668,Sprinter 6668 to Nijmegen,Flirt
2,6568,Sprinter 6568 to 's-Hertogenbosch,Flirt
3,6666,Sprinter 6666 to Nijmegen,Flirt
4,6463,Sprinter 6463 to Weert,Flirt
5,5663,Sprinter 5663 to Zwolle,SNG
6,5161,Sprinter 5161 to Rotterdam Stadion,SNG
7,9067,Sprinter 9067 to Leeuwarden,SNG
8,4965,Sprinter 4965 to Utrecht Centraal,SNG
9,7367,Sprinter 7367 to Rhenen,SLT
10,5159,Sprinter 5159 to Rotterdam Stadion,SNG
11,5059,Sprinter 5059 to Rotterdam Stadion,SNG
12,6170,Sprinter 6170 to Zwolle,SNG
13,4366,Sprinter 4366 to Amsterdam RAI,SLT
14,5764,Sprinter 5764 to Amsterdam RAI,SLT
15,5062,Sprinter 5062 to Den Haag Centraal,SNG
16,9065,Sprinter 9065 to Zwolle,SNG
17,7362,Sprinter 7362 to Breukelen,SNG
18,7369,Sprinter 7369 to Rhenen,SNG
19,5160,Sprinter 5160 to Den Haag Centraal,SNG
20,5061,Sprinter 5061 to Rotterdam Stadion,SNG
21,4071,Sprinter 4071 to Rotterdam Centraal,SLT
22,5864,Sprinter 5864 to Amsterdam Centraal,SNG
23,704362,Sprinter 704362 to Den Haag Centraal,SLT
24,6073,Sprinter 6073 to 's-Hertogenbosch,SLT
25,704369,Sprinter 704369 to Amsterdam Centraal,SLT
26,4858,Sprinter 4858 to Amsterdam Centraal,SLT
27,704360,Sprinter 704360 to Den Haag Centraal,SLT
28,5564,Sprinter 5564 to Utrecht Centraal,SLT
29,4260,Sprinter 4260 to Haarlem,SLT
30,4860,Sprinter 4860 to Amsterdam Centraal,SLT
31,5458,Sprinter 5458 to Amsterdam Centraal,SLT
32,4060,Sprinter 4060 to Uitgeest,SLT
33,5463,Sprinter 5463 to Zandvoort aan Zee,SLT
34,6566,Sprinter 6566 to 's-Hertogenbosch,Flirt
35,6669,Sprinter 6669 to Dordrecht,Flirt
36,6660,Sprinter 6660 to Arnhem Centraal,Flirt
37,6465,Sprinter 6465 to Weert,Flirt
38,6472,Sprinter 6472 to Tilburg Universiteit,Flirt
39,6662,Sprinter 6662 to Nijmegen,Flirt
40,6665,Sprinter 6665 to Dordrecht,Flirt
41,6563,Sprinter 6563 to Deurne,Flirt
42,4862,Sprinter 4862 to Amsterdam Centraal,SLT
43,4967,Sprinter 4967 to Utrecht Centraal,SLT
44,4964,Sprinter 4964 to Almere Centrum,SLT
45,6071,Sprinter 6071 to 's-Hertogenbosch,SLT
46,5769,Sprinter 5769 to Utrecht Centraal,SLT
47,4863,Sprinter 4863 to Alkmaar,SLT
48,5865,Sprinter 5865 to Amersfoort Vathorst,SNG
49,4064,Sprinter 4064 to Uitgeest,SLT
50,4067,Sprinter 4067 to Rotterdam Centraal,SLT
51,8969,Sprinter 8969 to Utrecht Centraal,SLT
52,5866,Sprinter 5866 to Amsterdam Centraal,SNG
53,7364,Sprinter 7364 to Breukelen,SLT
54,6771,Sprinter 6771 to Tiel,SLT
55,4066,Sprinter 4066 to Uitgeest,SLT
56,4261,Sprinter 4261 to Leiden Centraal,SLT
57,5667,Sprinter 5667 to Zwolle,SNG
58,5668,Sprinter 5668 to Utrecht Centraal,SNG
59,8964,Sprinter 8964 to Woerden,SLT
60,4664,Sprinter 4664 to Amsterdam Centraal,SNG
61,5064,Sprinter 5064 to Den Haag Centraal,SNG
62,6161,Sprinter 6161 to Groningen,SNG
63,5666,Sprinter 5666 to Utrecht Centraal,SNG
64,5664,Sprinter 5664 to Utrecht Centraal,SNG
65,4662,Sprinter 4662 to Amsterdam Centraal,SNG
66,4162,Sprinter 4162 to Hoorn Kersenboogerd,SNG
67,5162,Sprinter 5162 to Den Haag Centraal,SNG
68,4669,Sprinter 4669 to Almere Oostvaarders,SNG
69,4160,Sprinter 4160 to Hoorn Kersenboogerd,SNG
70,4164,Sprinter 4164 to Hoorn Kersenboogerd,SNG
71,5665,Sprinter 5665 to Zwolle,SNG
72,4365,Sprinter 4365 to Lelystad Centrum,SLT
73,5867,Sprinter 5867 to Amersfoort Vathorst,SNG
74,6168,Sprinter 6168 to Zwolle,SNG
75,7070,Sprinter 7070 to Apeldoorn,SNG
76,1166,Intercity 1166 to Den Haag Centraal,ICNG
77,9571,Eurocity Direct 9571 to Amsterdam Centraal,SLT
78,9563,Eurocity Direct 9563 to Amsterdam Centraal,ICNG
79,1567,Intercity 1567 to Amersfoort Centraal,ICM
