,passservice_num,arrival,departure,stations_uic
0,7665,2026-05-02 00:00:00+02:00,2026-05-02 18:18:00+02:00,8400710
1,7665,2026-05-02 18:22:00+02:00,2026-05-02 18:22:30+02:00,8400475
2,7665,2026-05-02 18:25:00+02:00,2026-05-02 18:25:30+02:00,8400477
3,7665,2026-05-02 18:29:00+02:00,2026-05-02 18:32:00+02:00,8400470
4,7665,2026-05-02 18:35:00+02:00,2026-05-02 18:35:30+02:00,8400451
5,7665,2026-05-02 18:40:00+02:00,2026-05-02 18:40:30+02:00,8400207
6,7665,2026-05-02 18:44:00+02:00,2026-05-02 18:44:30+02:00,8400227
7,7665,2026-05-02 18:49:00+02:00,2026-05-02 18:55:00+02:00,8400071
8,7665,2026-05-02 18:57:00+02:00,2026-05-02 18:57:30+02:00,8400072
9,7665,2026-05-02 19:01:00+02:00,2026-05-02 19:01:30+02:00,8400075
10,7665,2026-05-02 19:04:00+02:00,2026-05-02 19:04:30+02:00,8400640
11,7665,2026-05-02 19:08:00+02:00,2026-05-02 19:08:30+02:00,8400519
12,7665,2026-05-02 19:13:00+02:00,2026-05-02 19:14:00+02:00,8400176
13,7665,2026-05-02 19:18:00+02:00,2026-05-02 19:18:30+02:00,8400136
14,7665,2026-05-02 19:24:00+02:00,2026-05-03 00:00:00+02:00,8400744
15,6668,2026-05-02 00:00:00+02:00,2026-05-02 18:58:00+02:00,8400180
16,6668,2026-05-02 19:01:00+02:00,2026-05-02 19:01:30+02:00,8400181
17,6668,2026-05-02 19:09:00+02:00,2026-05-02 19:10:00+02:00,8400382
18,6668,2026-05-02 19:17:00+02:00,2026-05-02 19:17:30+02:00,8400132
19,6668,2026-05-02 19:22:00+02:00,2026-05-02 19:24:00+02:00,8400131
20,6668,2026-05-02 19:32:00+02:00,2026-05-02 19:32:30+02:00,8400251
21,6668,2026-05-02 19:36:00+02:00,2026-05-02 19:36:30+02:00,8400598
22,6668,2026-05-02 19:40:00+02:00,2026-05-02 19:40:30+02:00,8400594
23,6668,2026-05-02 19:43:00+02:00,2026-05-02 19:44:00+02:00,8400597
24,6668,2026-05-02 19:58:00+02:00,2026-05-02 20:02:00+02:00,8400319
25,6668,2026-05-02 20:05:00+02:00,2026-05-02 20:05:30+02:00,8400320
26,6668,2026-05-02 20:09:00+02:00,2026-05-02 20:09:30+02:00,8400524
27,6668,2026-05-02 20:16:00+02:00,2026-05-02 20:16:30+02:00,8400496
28,6668,2026-05-02 20:20:00+02:00,2026-05-02 20:20:30+02:00,8400495
29,6668,2026-05-02 20:26:00+02:00,2026-05-02 20:26:30+02:00,8400515
30,6668,2026-05-02 20:31:00+02:00,2026-05-02 20:31:30+02:00,8400710
31,6668,2026-05-02 20:35:00+02:00,2026-05-02 20:35:30+02:00,8400475
32,6668,2026-05-02 20:38:00+02:00,2026-05-02 20:38:30+02:00,8400477
33,6668,2026-05-02 20:43:00+02:00,2026-05-03 00:00:00+02:00,8400470
34,6568,2026-05-02 00:00:00+02:00,2026-05-02 18:37:00+02:00,8400172
35,6568,2026-05-02 18:42:00+02:00,2026-05-02 18:42:30+02:00,8400299
36,6568,2026-05-02 18:46:00+02:00,2026-05-02 18:46:30+02:00,8400313
37,6568,2026-05-02 18:49:00+02:00,2026-05-02 18:49:30+02:00,8400300
38,6568,2026-05-02 18:51:00+02:00,2026-05-02 18:51:30+02:00,8400242
39,6568,2026-05-02 18:59:00+02:00,2026-05-02 19:05:00+02:00,8400206
40,6568,2026-05-02 19:09:00+02:00,2026-05-02 19:09:30+02:00,8400196
41,6568,2026-05-02 19:14:00+02:00,2026-05-02 19:14:30+02:00,8400112
42,6568,2026-05-02 19:21:00+02:00,2026-05-02 19:21:30+02:00,8400129
43,6568,2026-05-02 19:28:00+02:00,2026-05-02 19:28:30+02:00,8400667
44,6568,2026-05-02 19:33:00+02:00,2026-05-03 00:00:00+02:00,8400319
45,6666,2026-05-02 00:00:00+02:00,2026-05-02 18:28:00+02:00,8400180
46,6666,2026-05-02 18:31:00+02:00,2026-05-02 18:31:30+02:00,8400181
47,6666,2026-05-02 18:39:00+02:00,2026-05-02 18:39:30+02:00,8400382
48,6666,2026-05-02 18:46:00+02:00,2026-05-02 18:46:30+02:00,8400132
49,6666,2026-05-02 18:51:00+02:00,2026-05-02 18:54:00+02:00,8400131
50,6666,2026-05-02 19:02:00+02:00,2026-05-02 19:02:30+02:00,8400251
51,6666,2026-05-02 19:06:00+02:00,2026-05-02 19:06:30+02:00,8400598
52,6666,2026-05-02 19:10:00+02:00,2026-05-02 19:10:30+02:00,8400594
53,6666,2026-05-02 19:13:00+02:00,2026-05-02 19:14:00+02:00,8400597
54,6666,2026-05-02 19:30:00+02:00,2026-05-02 19:32:00+02:00,8400319
55,6666,2026-05-02 19:35:00+02:00,2026-05-02 19:35:30+02:00,8400320
56,6666,2026-05-02 19:39:00+02:00,2026-05-02 19:39:30+02:00,8400524
